,team_name,league,elo_rating,games
596,Zenit Saint Petersburg,235,1791.35,32
2012,PFC Sochi,235,1732.67,31
558,Spartak Moscow,235,1656.30,35
621,Krasnodar,235,1632.87,31
555,CSKA Moscow,235,1621.49,34
1088,Dinamo Moscow,235,1600.82,36
1085,Akhmat Grozny,235,1598.82,31
597,Lokomotiv Moscow,235,1584.34,31
1079,Krylya Sovetov,235,1574.59,31
1994,Khimki,235,1570.16,33
779,FC Rostov,235,1565.33,31
1084,Ural,235,1561.70,31
2011,Nizhny Novgorod,235,1540.67,32
3985,Torpedo Moskva,236,1531.07,40
1078,FC UFA,235,1500.41,33
1080,Orenburg,235,1483.95,41
1993,Fakel Voronezh,236,1469.78,40
1089,Enisey,236,1456.98,43
2006,Baltika,236,1445.78,40
6786,Akron,236,1428.39,39
6831,Urozhay,236,1422.05,41
1087,Ska-khabarovsk,235,1421.69,41
1077,Arsenal Tula,235,1398.31,32
1083,Rubin,235,1397.38,32
2003,Spartak Moscow 2,236,1376.60,38
2015,Krasnodar 2,236,1370.60,38
2001,FK Neftekhimik,236,1363.06,39
6787,Alaniya Vladikavkaz,236,1347.74,43
1081,Tom Tomsk,236,1306.11,39
2004,Volgar Astrakhan,236,1269.82,39
6833,Veles,236,1266.17,40
6797,Dolgoprudny,236,1222.99,39
2010,Rotor Volgograd,236,1219.32,40
6815,Metallurg Lipetsk,236,1209.08,40
6801,KAMAZ,236,1194.95,41
3984,Tekstilshchik,236,1066.66,39
